id,sentiment
0,1
1,2
2,4
3,1
4,3
5,1
6,1
7,3
8,2
9,3
10,3
11,2
12,3
13,3
14,3
15,0
16,3
17,1
18,1
19,3
20,3
21,2
22,3
23,2
24,3
25,3
26,4
27,2
28,3
29,3
30,3
31,3
32,2
33,2
34,3
35,3
36,3
37,3
38,3
39,3
40,1
41,0
42,3
43,3
44,2
45,2
46,0
47,3
48,3
49,2
50,3
51,3
52,2
53,2
54,2
55,2
56,1
57,1
58,3
59,2
60,2
61,3
62,3
63,3
64,1
65,1
66,1
67,1
68,2
69,3
70,3
71,3
72,1
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,2
81,2
82,2
83,2
84,2
85,3
86,3
87,3
88,2
89,2
90,0
91,3
92,3
93,2
94,1
95,3
96,2
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,1
106,3
107,3
108,2
109,4
110,2
111,3
112,2
113,2
114,3
115,3
116,3
117,3
118,2
119,1
120,3
121,3
122,3
123,3
124,1
125,3
126,1
127,3
128,3
129,3
130,3
131,2
132,2
133,2
134,1
135,2
136,3
137,3
138,3
139,2
140,3
141,3
142,3
143,3
144,1
145,0
146,3
147,1
148,1
149,1
150,1
151,3
152,3
153,3
154,1
155,3
156,4
157,3
158,3
159,2
160,2
161,2
162,3
163,3
164,3
165,2
166,2
167,0
168,3
169,3
170,3
171,1
172,1
173,2
174,3
175,3
176,3
177,3
178,1
179,4
180,4
181,3
182,3
183,2
184,2
185,3
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,1
196,3
197,3
198,1
199,1
200,3
201,2
202,2
203,3
204,3
205,1
206,0
207,3
208,2
209,1
210,3
211,2
212,1
213,1
214,3
215,3
216,4
217,3
218,3
219,3
220,1
221,3
222,3
223,1
224,2
225,2
226,2
227,3
228,1
229,2
230,0
231,3
232,3
233,1
234,1
235,1
236,1
237,3
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,2
246,0
247,2
248,1
249,1
250,3
251,2
252,2
253,1
254,3
255,1
256,2
257,1
258,2
259,2
260,3
261,3
262,3
263,3
264,3
265,3
266,2
267,2
268,2
269,4
270,3
271,3
272,1
273,2
274,1
275,1
276,3
277,1
278,1
279,3
280,3
281,3
282,1
283,3
284,3
285,2
286,2
287,2
288,3
289,2
290,3
291,3
292,3
293,3
294,2
295,2
296,3
297,3
298,4
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,1
314,2
315,2
316,3
317,3
318,1
319,1
320,0
321,3
322,3
323,3
324,0
325,2
326,3
327,3
328,3
329,3
330,3
331,3
332,2
333,2
334,2
335,1
336,3
337,3
338,3
339,3
340,3
341,2
342,2
343,3
344,3
345,3
346,3
347,1
348,3
349,1
350,0
351,0
352,3
353,3
354,3
355,3
356,3
357,2
358,2
359,2
360,3
361,2
362,1
363,3
364,1
365,3
366,3
367,3
368,2
369,2
370,3
371,2
372,2
373,2
374,1
375,1
376,1
377,1
378,3
379,3
380,0
381,3
382,1
383,3
384,3
385,3
386,3
387,1
388,2
389,2
390,1
391,3
392,3
393,3
394,1
395,1
396,3
397,3
398,2
399,2
400,3
401,2
402,2
403,2
404,2
405,1
406,2
407,2
408,2
409,2
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,2
418,1
419,3
420,1
421,3
422,2
423,1
424,1
425,2
426,1
427,3
428,1
429,3
430,2
431,2
432,2
433,3
434,3
435,3
436,3
437,1
438,3
439,3
440,3
441,2
442,3
443,3
444,3
445,3
446,2
447,3
448,1
449,1
450,3
451,1
452,3
453,2
454,3
455,2
456,2
457,2
458,2
459,3
460,1
461,1
462,3
463,3
464,3
465,3
466,3
467,3
468,3
469,2
470,3
471,1
472,3
473,2
474,2
475,3
476,2
477,3
478,3
479,3
480,2
481,3
482,2
483,2
484,3
485,3
486,2
487,2
488,3
489,1
490,2
491,1
492,4
493,3
494,3
495,2
496,2
497,3
498,3
499,2
500,3
501,3
502,1
503,2
504,2
505,3
506,3
507,0
508,3
509,3
510,3
511,3
512,2
513,0
514,3
515,3
516,1
517,2
518,2
519,0
520,0
521,2
522,3
523,3
524,3
525,0
526,2
527,2
528,2
529,0
530,3
531,3
532,3
533,3
534,1
535,1
536,3
537,3
538,1
539,3
540,1
541,1
542,2
543,3
544,2
545,3
546,3
547,3
548,3
549,2
550,2
551,1
552,2
553,2
554,2
555,2
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,1
564,3
565,3
566,3
567,3
568,3
569,3
570,1
571,1
572,3
573,3
574,2
575,2
576,3
577,1
578,0
579,2
580,1
581,2
582,2
583,2
584,3
585,3
586,0
587,2
588,2
589,3
590,3
591,3
592,3
593,3
594,3
595,0
596,3
597,3
598,0
599,0
600,3
601,2
602,3
603,3
604,2
605,2
606,0
607,3
608,3
609,3
610,3
611,1
612,3
613,2
614,2
615,0
616,3
617,3
618,3
619,3
620,3
621,1
622,3
623,3
624,2
625,2
626,3
627,3
628,3
629,3
630,3
631,2
632,2
633,2
634,1
635,3
636,1
637,3
638,1
639,2
640,1
641,1
642,1
643,3
644,2
645,2
646,2
647,4
648,2
649,4
650,2
651,1
652,3
653,3
654,2
655,2
656,2
657,2
658,2
659,3
660,3
661,1
662,2
663,3
664,3
665,3
666,2
667,3
668,3
669,3
670,1
671,3
672,1
673,1
674,1
675,3
676,3
677,3
678,3
679,3
680,2
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,1
690,1
691,1
692,3
693,1
694,1
695,1
696,2
697,2
698,2
699,2
700,3
701,3
702,3
703,3
704,3
705,3
706,1
707,2
708,3
709,4
710,2
711,3
712,1
713,1
714,2
715,2
716,3
717,2
718,2
719,3
720,3
721,3
722,2
723,3
724,3
725,2
726,3
727,3
728,2
729,3
730,3
731,3
732,2
733,3
734,1
735,3
736,1
737,2
738,2
739,3
740,2
741,3
742,2
743,4
744,3
745,2
746,3
747,2
748,2
749,3
750,3
751,3
752,3
753,3
754,3
755,3
756,2
757,3
758,3
759,1
760,1
761,3
762,3
763,1
764,3
765,2
766,3
767,3
768,2
769,3
770,3
771,3
772,2
773,2
774,3
775,2
776,2
777,3
778,3
779,3
780,2
781,3
782,3
783,2
784,1
785,2
786,3
787,3
788,2
789,3
790,3
791,3
792,3
793,4
794,4
795,1
796,0
797,3
798,1
799,3
800,2
801,2
802,3
803,3
804,3
805,1
806,2
807,2
808,2
809,3
810,3
811,3
812,2
813,3
814,1
815,4
816,3
817,3
818,3
819,1
820,3
821,1
822,1
823,1
824,3
825,2
826,3
827,3
828,3
829,3
830,3
831,3
832,2
833,2
834,3
835,3
836,3
837,3
838,2
839,2
840,1
841,3
842,1
843,3
844,3
845,3
846,3
847,3
848,3
849,3
850,3
851,2
852,1
853,2
854,2
855,1
856,3
857,1
858,3
859,3
860,3
861,3
862,1
863,2
864,3
865,3
866,1
867,2
868,2
869,1
870,1
871,2
872,2
873,3
874,4
875,0
876,0
877,3
878,3
879,3
880,2
881,1
882,3
883,3
884,3
885,2
886,2
887,4
888,3
889,0
890,3
891,3
892,3
893,3
894,3
895,3
896,1
897,2
898,3
899,2
900,2
901,3
902,3
903,3
904,3
905,3
906,2
907,2
908,3
909,3
910,1
911,3
912,2
913,2
914,4
915,1
916,1
917,1
918,3
919,1
920,3
921,2
922,3
923,3
924,3
925,2
926,3
927,3
928,3
929,1
930,1
931,3
932,3
933,3
934,3
935,3
936,1
937,3
938,1
939,2
940,2
941,2
942,1
943,2
944,3
945,3
946,1
947,3
948,3
949,3
950,3
951,3
952,0
953,1
954,1
955,2
956,1
957,2
958,2
959,1
960,3
961,3
962,3
