id,sentiment
0,3
1,3
2,2
3,2
4,3
5,3
6,1
7,1
8,1
9,2
10,2
11,2
12,3
13,2
14,3
15,3
16,2
17,3
18,1
19,3
20,3
21,1
22,3
23,3
24,2
25,2
26,3
27,3
28,1
29,1
30,2
31,2
32,2
33,1
34,2
35,3
36,3
37,2
38,3
39,3
40,3
41,2
42,3
43,3
44,1
45,2
46,3
47,3
48,4
49,0
50,2
51,0
52,3
53,1
54,1
55,1
56,3
57,3
58,1
59,2
60,3
61,1
62,1
63,3
64,2
65,2
66,2
67,2
68,3
69,2
70,2
71,2
72,1
73,1
74,3
75,2
76,2
77,2
78,2
79,2
80,3
81,2
82,1
83,1
84,2
85,1
86,2
87,2
88,1
89,1
90,1
91,3
92,3
93,2
94,3
95,3
96,2
97,3
98,3
99,1
100,1
101,2
102,2
103,3
104,3
105,1
106,1
107,2
108,3
109,1
110,2
111,3
112,1
113,1
114,1
115,1
116,3
117,2
118,3
119,1
120,2
121,2
122,3
123,3
124,1
125,3
126,4
127,2
128,2
129,1
130,1
131,3
132,1
133,1
134,1
135,3
136,2
137,3
138,3
139,2
140,3
141,1
142,3
143,3
144,3
145,2
146,3
147,3
148,3
149,1
150,1
151,2
152,2
153,2
154,3
155,2
156,3
157,2
158,2
159,2
160,2
161,2
162,3
163,3
164,3
165,2
166,2
167,3
168,3
169,2
170,2
171,1
172,2
173,3
174,2
175,2
176,1
177,1
178,1
179,3
180,1
181,2
182,2
183,1
184,3
185,2
186,1
187,2
188,2
189,2
190,2
191,2
192,3
193,3
194,3
195,2
196,2
197,2
198,2
199,2
200,1
201,1
202,3
203,2
204,4
205,3
206,3
207,2
208,3
209,3
210,3
211,1
212,1
213,2
214,3
215,1
216,0
217,1
218,1
219,2
220,2
221,2
222,2
223,1
224,3
225,3
226,3
227,3
228,2
229,3
230,1
231,3
232,2
233,1
234,1
235,1
236,2
237,3
238,2
239,1
240,1
241,3
242,1
243,2
244,2
245,1
246,3
247,3
248,3
249,2
250,3
251,2
252,3
253,1
254,2
255,2
256,3
257,3
258,2
259,2
260,1
261,2
262,2
263,2
264,2
265,2
266,1
267,1
268,1
269,1
270,2
271,3
272,1
273,1
274,2
275,2
276,1
277,2
278,2
279,3
280,2
281,2
282,3
283,3
284,3
285,2
286,2
287,1
288,2
289,2
290,3
291,2
292,2
293,2
294,2
295,2
296,3
297,2
298,3
299,2
300,3
301,2
302,2
303,3
304,2
305,1
306,3
307,1
308,2
309,2
310,3
311,2
312,1
313,3
314,3
315,3
316,2
317,2
318,3
319,3
320,2
321,3
322,3
323,3
324,1
325,3
326,3
327,3
328,3
329,3
330,2
331,3
332,2
333,2
334,2
335,3
336,3
337,2
338,3
339,1
340,3
341,3
342,3
343,3
344,1
345,1
346,3
347,3
348,3
349,2
350,3
351,1
352,1
353,1
354,1
355,1
356,1
357,3
358,3
359,0
360,1
361,4
362,1
363,1
364,2
365,0
366,0
367,0
368,3
369,3
370,1
371,3
372,0
373,2
374,1
375,1
376,0
377,0
378,1
379,1
380,2
381,2
382,2
383,1
384,1
385,1
386,1
387,0
388,3
389,3
390,2
391,1
392,2
393,2
394,3
395,3
396,3
397,3
398,3
399,3
400,2
401,2
402,3
403,3
404,3
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,0
413,0
414,2
415,3
416,2
417,2
418,3
419,3
420,3
421,0
422,3
423,2
424,2
425,3
426,2
427,3
428,2
429,2
430,1
431,1
432,3
433,2
434,3
435,3
436,2
437,2
438,2
439,3
440,3
441,3
442,1
443,1
444,2
445,2
446,0
447,2
448,3
449,1
450,3
451,3
452,1
453,3
454,3
455,3
456,3
457,2
458,2
459,2
460,2
461,1
462,1
463,1
464,2
465,3
466,2
467,3
468,3
469,2
470,2
471,3
472,1
473,1
474,2
475,3
476,3
477,2
478,1
479,1
480,1
481,1
482,2
483,2
484,3
485,3
486,3
487,3
488,0
489,2
490,2
491,3
492,2
493,1
494,2
495,3
496,1
497,3
498,1
499,2
500,3
501,3
502,1
503,2
504,2
505,3
506,3
507,1
508,2
509,2
510,3
511,0
512,3
513,2
514,2
515,1
516,3
517,3
518,3
519,2
520,2
521,3
522,2
523,3
524,2
525,2
526,2
527,2
528,2
529,2
530,3
531,3
532,3
533,3
534,3
535,3
536,2
537,2
538,0
539,2
540,3
541,1
542,3
543,3
544,3
545,2
546,3
547,2
548,0
549,0
550,2
551,3
552,1
553,1
554,1
555,3
556,3
557,1
558,1
559,1
560,1
561,1
562,2
563,1
564,3
565,3
566,3
567,2
568,2
569,2
570,2
571,3
572,3
573,2
574,3
575,3
576,3
577,2
578,0
579,2
580,2
581,3
582,3
583,3
584,3
585,3
586,3
587,3
588,1
589,2
590,2
591,2
592,1
593,1
594,0
595,0
596,1
597,1
598,3
599,3
600,3
601,1
602,1
603,3
604,3
605,2
606,3
607,1
608,2
609,2
610,3
611,2
612,3
613,1
614,1
615,2
616,1
617,2
618,2
619,2
620,1
621,3
622,3
623,3
624,2
625,2
626,1
627,1
628,1
629,2
630,2
631,4
632,0
633,2
634,2
635,2
636,3
637,3
638,2
639,3
640,3
641,3
642,2
643,1
644,3
645,0
646,0
647,2
648,3
649,2
650,3
651,3
652,1
653,1
654,2
655,2
656,4
657,4
658,3
659,1
660,3
661,3
662,2
663,0
664,0
665,2
666,2
667,3
668,2
669,3
670,1
671,2
672,2
673,2
674,2
675,2
676,2
677,2
678,3
679,3
680,3
681,1
682,1
683,2
684,1
685,1
686,1
687,2
688,2
689,3
690,3
691,3
692,2
693,3
694,2
695,2
696,2
697,2
698,2
699,1
700,2
701,3
702,3
703,3
704,3
705,3
706,3
707,1
708,3
709,2
710,3
711,4
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,3
720,3
721,3
722,4
723,3
724,3
725,2
726,2
727,3
728,2
729,3
730,3
731,3
732,2
733,3
734,1
735,2
736,2
737,3
738,3
739,2
740,0
741,0
742,1
743,0
744,1
745,2
746,2
747,1
748,1
749,2
750,1
751,1
752,1
753,2
754,2
755,2
756,2
757,3
758,3
759,2
760,2
761,2
762,1
763,2
764,1
765,3
766,2
767,0
768,2
769,1
770,3
771,3
772,2
773,2
774,3
775,1
776,2
777,2
778,2
779,2
780,3
781,2
782,2
783,1
784,1
785,3
786,3
787,3
788,3
789,3
790,3
791,3
792,3
793,3
794,3
795,3
796,2
797,2
798,3
799,2
800,2
801,2
802,2
803,3
804,3
805,4
806,3
807,3
808,3
809,2
810,2
811,2
812,2
813,2
814,0
815,3
816,2
817,1
818,3
819,3
820,1
821,3
822,1
823,2
824,1
825,3
826,2
827,2
828,3
829,3
830,2
831,2
832,0
833,0
834,0
835,2
836,2
837,1
838,3
839,3
840,3
841,3
842,2
843,3
844,3
845,2
846,2
847,2
848,2
849,0
850,3
851,3
852,1
853,1
854,1
855,3
856,2
857,2
858,1
859,1
860,3
861,3
862,1
863,2
864,2
865,2
866,2
867,3
868,3
869,3
870,1
871,2
872,2
873,2
874,1
875,2
876,2
877,2
878,2
879,1
880,2
